Frame,Driver,Speed,Sector,Lap
13,VERSTAPPEN,274,Sector 1,9 of 73
16,VERSTAPPEN,274,Sector 1,9 of 73
19,VERSTAPPEN,275,Sector 1,9 of 73
22,VERSTAPPEN,276,Sector 1,9 of 73
25,VERSTAPPEN,277,Sector 1,9 of 73
28,VERSTAPPEN,278,Sector 1,9 of 73
31,VERSTAPPEN,279,Sector 1,9 of 73
34,VERSTAPPEN,280,Sector 1,9 of 73
37,VERSTAPPEN,281,Sector 1,9 of 73
40,VERSTAPPEN,281,Sector 1,9 of 73
43,VERSTAPPEN,282,Sector 1,9 of 73
46,VERSTAPPEN,282,Sector 1,9 of 73
49,VERSTAPPEN,283,Sector 1,9 of 73
52,VERSTAPPEN,284,Sector 1,9 of 73
55,VERSTAPPEN,284,Sector 1,9 of 73
58,VERSTAPPEN,285,Sector 1,9 of 73
61,VERSTAPPEN,285,Sector 1,9 of 73
64,VERSTAPPEN,286,Sector 1,9 of 73
67,VERSTAPPEN,287,Sector 1,9 of 73
70,VERSTAPPEN,288,Sector 1,9 of 73
73,VERSTAPPEN,288,Sector 1,9 of 73
76,VERSTAPPEN,289,Sector 1,9 of 73
79,VERSTAPPEN,289,Sector 1,9 of 73
82,VERSTAPPEN,289,Sector 1,9 of 73
85,VERSTAPPEN,289,Sector 1,9 of 73
88,VERSTAPPEN,290,Sector 1,9 of 73
91,VERSTAPPEN,291,Sector 1,9 of 73
94,VERSTAPPEN,291,Sector 1,9 of 73
97,VERSTAPPEN,291,Sector 1,9 of 73
100,VERSTAPPEN,291,Sector 1,9 of 73
103,VERSTAPPEN,291,Sector 1,9 of 73
106,VERSTAPPEN,291,Sector 1,9 of 73
109,VERSTAPPEN,291,Sector 1,9 of 73
112,VERSTAPPEN,291,Sector 1,9 of 73
115,VERSTAPPEN,290,Sector 1,9 of 73
118,VERSTAPPEN,290,Sector 1,9 of 73
121,VERSTAPPEN,290,Sector 1,9 of 73
124,VERSTAPPEN,289,Sector 1,9 of 73
127,VERSTAPPEN,287,Sector 1,9 of 73
130,VERSTAPPEN,286,Sector 1,9 of 73
133,VERSTAPPEN,285,Sector 1,9 of 73
136,VERSTAPPEN,283,Sector 1,9 of 73
139,VERSTAPPEN,281,Sector 1,9 of 73
142,VERSTAPPEN,279,Sector 1,9 of 73
145,VERSTAPPEN,277,Sector 1,9 of 73
148,VERSTAPPEN,274,Sector 1,9 of 73
151,VERSTAPPEN,270,Sector 1,9 of 73
154,VERSTAPPEN,265,Sector 1,9 of 73
157,VERSTAPPEN,261,Sector 1,9 of 73
160,VERSTAPPEN,244,Sector 1,9 of 73
163,VERSTAPPEN,236,Sector 1,9 of 73
166,VERSTAPPEN,227,Sector 1,9 of 73
169,VERSTAPPEN,221,Sector 1,9 of 73
172,VERSTAPPEN,209,Sector 1,9 of 73
175,VERSTAPPEN,204,Sector 1,9 of 73
178,VERSTAPPEN,197,Sector 1,9 of 73
181,VERSTAPPEN,188,Sector 1,9 of 73
184,VERSTAPPEN,185,Sector 1,9 of 73
187,VERSTAPPEN,173,Sector 1,9 of 73
190,VERSTAPPEN,166,Sector 1,9 of 73
193,VERSTAPPEN,162,Sector 1,9 of 73
196,VERSTAPPEN,158,Sector 1,9 of 73
199,VERSTAPPEN,153,Sector 1,9 of 73
202,VERSTAPPEN,151,Sector 1,9 of 73
205,VERSTAPPEN,149,Sector 1,9 of 73
208,VERSTAPPEN,147,Sector 1,9 of 73
211,VERSTAPPEN,145,Sector 1,9 of 73
214,VERSTAPPEN,142,Sector 1,9 of 73
217,VERSTAPPEN,140,Sector 1,9 of 73
220,VERSTAPPEN,139,Sector 1,9 of 73
223,VERSTAPPEN,137,Sector 1,9 of 73
226,VERSTAPPEN,136,Sector 1,9 of 73
229,VERSTAPPEN,134,Sector 1,9 of 73
232,VERSTAPPEN,133,Sector 1,9 of 73
235,VERSTAPPEN,133,Sector 1,9 of 73
238,VERSTAPPEN,133,Sector 1,9 of 73
241,VERSTAPPEN,135,Sector 1,9 of 73
244,VERSTAPPEN,136,Sector 1,9 of 73
247,VERSTAPPEN,137,Sector 1,9 of 73
250,VERSTAPPEN,139,Sector 1,9 of 73
253,VERSTAPPEN,141,Sector 1,9 of 73
256,VERSTAPPEN,144,Sector 1,9 of 73
259,VERSTAPPEN,145,Sector 1,9 of 73
262,VERSTAPPEN,147,Sector 1,9 of 73
265,VERSTAPPEN,149,Sector 1,9 of 73
268,VERSTAPPEN,153,Sector 1,9 of 73
271,VERSTAPPEN,156,Sector 1,9 of 73
274,VERSTAPPEN,161,Sector 1,9 of 73
277,VERSTAPPEN,165,Sector 1,9 of 73
280,VERSTAPPEN,167,Sector 1,9 of 73
283,VERSTAPPEN,170,Sector 1,9 of 73
286,VERSTAPPEN,173,Sector 1,9 of 73
289,VERSTAPPEN,176,Sector 1,9 of 73
292,VERSTAPPEN,179,Sector 1,9 of 73
295,VERSTAPPEN,186,Sector 1,9 of 73
298,VERSTAPPEN,189,Sector 1,9 of 73
301,VERSTAPPEN,193,Sector 1,9 of 73
304,VERSTAPPEN,195,Sector 1,9 of 73
307,VERSTAPPEN,197,Sector 1,9 of 73
310,VERSTAPPEN,201,Sector 1,9 of 73
313,VERSTAPPEN,205,Sector 1,9 of 73
316,VERSTAPPEN,208,Sector 1,9 of 73
319,VERSTAPPEN,210,Sector 1,9 of 73
322,VERSTAPPEN,212,Sector 1,9 of 73
325,VERSTAPPEN,214,Sector 1,9 of 73
328,VERSTAPPEN,216,Sector 1,9 of 73
331,VERSTAPPEN,218,Sector 1,9 of 73
334,VERSTAPPEN,221,Sector 1,9 of 73
337,VERSTAPPEN,225,Sector 1,9 of 73
340,VERSTAPPEN,226,Sector 1,9 of 73
343,VERSTAPPEN,228,Sector 1,9 of 73
346,VERSTAPPEN,229,Sector 1,9 of 73
349,VERSTAPPEN,231,Sector 1,9 of 73
352,VERSTAPPEN,233,Sector 1,9 of 73
355,VERSTAPPEN,236,Sector 1,9 of 73
358,VERSTAPPEN,238,Sector 1,9 of 73
361,VERSTAPPEN,240,Sector 1,9 of 73
364,VERSTAPPEN,241,Sector 1,9 of 73
367,VERSTAPPEN,243,Sector 1,9 of 73
370,VERSTAPPEN,246,Sector 1,9 of 73
373,VERSTAPPEN,247,Sector 1,9 of 73
376,VERSTAPPEN,249,Sector 1,9 of 73
379,VERSTAPPEN,250,Sector 1,9 of 73
382,VERSTAPPEN,251,Sector 1,9 of 73
385,VERSTAPPEN,253,Sector 1,9 of 73
388,VERSTAPPEN,253,Sector 1,9 of 73
391,VERSTAPPEN,255,Sector 1,9 of 73
394,VERSTAPPEN,256,Sector 1,9 of 73
397,VERSTAPPEN,258,Sector 1,9 of 73
400,VERSTAPPEN,259,Sector 1,9 of 73
403,VERSTAPPEN,260,Sector 1,9 of 73
406,VERSTAPPEN,262,Sector 1,9 of 73
409,VERSTAPPEN,263,Sector 1,9 of 73
412,VERSTAPPEN,264,Sector 1,9 of 73
415,VERSTAPPEN,265,Sector 1,9 of 73
418,VERSTAPPEN,266,Sector 1,9 of 73
421,VERSTAPPEN,267,Sector 1,9 of 73
424,VERSTAPPEN,268,Sector 1,9 of 73
427,VERSTAPPEN,269,Sector 1,9 of 73
430,VERSTAPPEN,269,Sector 1,9 of 73
433,VERSTAPPEN,271,Sector 1,9 of 73
436,VERSTAPPEN,271,Sector 1,9 of 73
439,VERSTAPPEN,272,Sector 1,9 of 73
442,VERSTAPPEN,273,Sector 1,9 of 73
445,VERSTAPPEN,274,Sector 1,9 of 73
448,VERSTAPPEN,275,Sector 1,9 of 73
451,VERSTAPPEN,276,Sector 1,9 of 73
454,VERSTAPPEN,276,Sector 1,9 of 73
457,VERSTAPPEN,277,Sector 1,9 of 73
460,VERSTAPPEN,278,Sector 1,9 of 73
463,VERSTAPPEN,280,Sector 1,9 of 73
466,VERSTAPPEN,280,Sector 1,9 of 73
469,VERSTAPPEN,280,Sector 1,9 of 73
472,VERSTAPPEN,281,Sector 1,9 of 73
475,VERSTAPPEN,281,Sector 1,9 of 73
478,VERSTAPPEN,281,Sector 1,9 of 73
481,VERSTAPPEN,282,Sector 1,9 of 73
484,VERSTAPPEN,283,Sector 1,9 of 73
487,VERSTAPPEN,285,Sector 1,9 of 73
490,VERSTAPPEN,285,Sector 1,9 of 73
493,VERSTAPPEN,285,Sector 1,9 of 73
496,VERSTAPPEN,285,Sector 1,9 of 73
499,VERSTAPPEN,285,Sector 1,9 of 73
502,VERSTAPPEN,285,Sector 1,9 of 73
505,VERSTAPPEN,286,Sector 1,9 of 73
508,VERSTAPPEN,287,Sector 1,9 of 73
511,VERSTAPPEN,288,Sector 1,9 of 73
514,VERSTAPPEN,288,Sector 1,9 of 73
517,VERSTAPPEN,288,Sector 1,9 of 73
520,VERSTAPPEN,289,Sector 1,9 of 73
523,VERSTAPPEN,289,Sector 1,9 of 73
526,VERSTAPPEN,289,Sector 1,9 of 73
529,VERSTAPPEN,290,Sector 1,9 of 73
532,VERSTAPPEN,291,Sector 1,9 of 73
535,VERSTAPPEN,292,Sector 1,9 of 73
538,VERSTAPPEN,292,Sector 1,9 of 73
541,VERSTAPPEN,292,Sector 1,9 of 73
544,VERSTAPPEN,292,Sector 1,9 of 73
547,VERSTAPPEN,293,Sector 1,9 of 73
550,VERSTAPPEN,293,Sector 1,9 of 73
553,VERSTAPPEN,294,Sector 1,9 of 73
556,VERSTAPPEN,294,Sector 1,9 of 73
559,VERSTAPPEN,294,Sector 1,9 of 73
562,VERSTAPPEN,294,Sector 1,9 of 73
565,VERSTAPPEN,294,Sector 1,9 of 73
568,VERSTAPPEN,294,Sector 1,9 of 73
571,VERSTAPPEN,295,Sector 1,9 of 73
574,VERSTAPPEN,295,Sector 1,9 of 73
577,VERSTAPPEN,295,Sector 1,9 of 73
580,VERSTAPPEN,296,Sector 1,9 of 73
583,VERSTAPPEN,296,Sector 1,9 of 73
586,VERSTAPPEN,296,Sector 1,9 of 73
589,VERSTAPPEN,296,Sector 1,9 of 73
592,VERSTAPPEN,296,Sector 1,9 of 73
595,VERSTAPPEN,295,Sector 1,9 of 73
598,VERSTAPPEN,295,Sector 1,9 of 73
601,VERSTAPPEN,294,Sector 1,9 of 73
604,VERSTAPPEN,294,Sector 1,9 of 73
607,VERSTAPPEN,293,Sector 1,9 of 73
610,VERSTAPPEN,291,Sector 1,9 of 73
613,VERSTAPPEN,289,Sector 2,9 of 73
616,VERSTAPPEN,285,Sector 2,9 of 73
619,VERSTAPPEN,282,Sector 2,9 of 73
622,VERSTAPPEN,280,Sector 2,9 of 73
625,VERSTAPPEN,275,Sector 2,9 of 73
628,VERSTAPPEN,270,Sector 2,9 of 73
631,VERSTAPPEN,262,Sector 2,9 of 73
634,VERSTAPPEN,257,Sector 2,9 of 73
637,VERSTAPPEN,248,Sector 2,9 of 73
640,VERSTAPPEN,238,Sector 2,9 of 73
643,VERSTAPPEN,231,Sector 2,9 of 73
646,VERSTAPPEN,216,Sector 2,9 of 73
649,VERSTAPPEN,203,Sector 2,9 of 73
652,VERSTAPPEN,197,Sector 2,9 of 73
655,VERSTAPPEN,191,Sector 2,9 of 73
658,VERSTAPPEN,180,Sector 2,9 of 73
661,VERSTAPPEN,171,Sector 2,9 of 73
664,VERSTAPPEN,164,Sector 2,9 of 73
667,VERSTAPPEN,154,Sector 2,9 of 73
670,VERSTAPPEN,147,Sector 2,9 of 73
673,VERSTAPPEN,140,Sector 2,9 of 73
676,VERSTAPPEN,131,Sector 2,9 of 73
679,VERSTAPPEN,127,Sector 2,9 of 73
682,VERSTAPPEN,123,Sector 2,9 of 73
685,VERSTAPPEN,121,Sector 2,9 of 73
688,VERSTAPPEN,118,Sector 2,9 of 73
691,VERSTAPPEN,115,Sector 2,9 of 73
694,VERSTAPPEN,111,Sector 2,9 of 73
697,VERSTAPPEN,102,Sector 2,9 of 73
700,VERSTAPPEN,99,Sector 2,9 of 73
703,VERSTAPPEN,95,Sector 2,9 of 73
706,VERSTAPPEN,90,Sector 2,9 of 73
709,VERSTAPPEN,89,Sector 2,9 of 73
712,VERSTAPPEN,87,Sector 2,9 of 73
715,VERSTAPPEN,86,Sector 2,9 of 73
718,VERSTAPPEN,85,Sector 2,9 of 73
721,VERSTAPPEN,83,Sector 2,9 of 73
724,VERSTAPPEN,82,Sector 2,9 of 73
727,VERSTAPPEN,78,Sector 2,9 of 73
730,VERSTAPPEN,76,Sector 2,9 of 73
733,VERSTAPPEN,74,Sector 2,9 of 73
736,VERSTAPPEN,72,Sector 2,9 of 73
739,VERSTAPPEN,70,Sector 2,9 of 73
742,VERSTAPPEN,69,Sector 2,9 of 73
745,VERSTAPPEN,68,Sector 2,9 of 73
748,VERSTAPPEN,68,Sector 2,9 of 73
751,VERSTAPPEN,68,Sector 2,9 of 73
754,VERSTAPPEN,68,Sector 2,9 of 73
757,VERSTAPPEN,68,Sector 2,9 of 73
760,VERSTAPPEN,69,Sector 2,9 of 73
763,VERSTAPPEN,70,Sector 2,9 of 73
766,VERSTAPPEN,70,Sector 2,9 of 73
769,VERSTAPPEN,72,Sector 2,9 of 73
772,VERSTAPPEN,74,Sector 2,9 of 73
775,VERSTAPPEN,75,Sector 2,9 of 73
778,VERSTAPPEN,76,Sector 2,9 of 73
781,VERSTAPPEN,78,Sector 2,9 of 73
784,VERSTAPPEN,80,Sector 2,9 of 73
787,VERSTAPPEN,83,Sector 2,9 of 73
790,VERSTAPPEN,86,Sector 2,9 of 73
793,VERSTAPPEN,88,Sector 2,9 of 73
796,VERSTAPPEN,92,Sector 2,9 of 73
799,VERSTAPPEN,94,Sector 2,9 of 73
802,VERSTAPPEN,97,Sector 2,9 of 73
805,VERSTAPPEN,99,Sector 2,9 of 73
808,VERSTAPPEN,100,Sector 2,9 of 73
811,VERSTAPPEN,101,Sector 2,9 of 73
814,VERSTAPPEN,105,Sector 2,9 of 73
817,VERSTAPPEN,113,Sector 2,9 of 73
